s,label,ku_source,score,parcours,ka,ku,answer,explain
http://example.org/course/X1CI010,Bases de comptabilité,file:///Users/molli-p/BodyOfKnowledge/Software_Engineering_SE/SE-Formal_Methods.txt,0.66345507,CMI,Software_Engineering_SE,SE-Formal_Methods,0,"The lecture (Bases de comptabilité) does not seem to be related to the Knowledge Unit (SE-Formal Methods), which focuses on software engineering and formal methods, while the lecture appears to be about accounting principles."
http://example.org/course/X1CI010,Bases de comptabilité,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Common_Aspects.txt,0.65906644,CMI,Specialized_Platform_Development_SPD,SPD-Common_Aspects,0,"The lecture does not provide an overview of development platforms, programming languages, or platform constraints, which are key topics in the Knowledge Unit."
http://example.org/course/X1CI010,Bases de comptabilité,file:///Users/molli-p/BodyOfKnowledge/Architecture_and_Organization_AR/AR-Representation_Machine-Level_Data_Representation.txt,0.6523384,CMI,Architecture_and_Organization_AR,AR-Representation_Machine-Level_Data_Representation,0,"The lecture only covers bits, bytes and words from the knowledge unit."
http://example.org/course/X1I2010,Optimisation discrète et combinatoire,file:///Users/molli-p/BodyOfKnowledge/Mathematical_and_Statistical_Foundations_MSF/MSF-Discrete_Discrete_Mathematics.txt,0.66955405,"ORO,CMI",Mathematical_and_Statistical_Foundations_MSF,MSF-Discrete_Discrete_Mathematics,1,Most of the content is covered in this lecture.
http://example.org/course/X1I2010,Optimisation discrète et combinatoire,file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Common_Aspects.txt,0.66741514,"ORO,CMI",Specialized_Platform_Development_SPD,SPD-Common_Aspects,0,"Lecture does not discuss platform-specific programming languages or development constraints, only provides a general overview of development platforms."
http://example.org/course/X1I2010,Optimisation discrète et combinatoire,file:///Users/molli-p/BodyOfKnowledge/Mathematical_and_Statistical_Foundations_MSF/MSF-Calculus.txt,0.65333116,"ORO,CMI",Mathematical_and_Statistical_Foundations_MSF,MSF-Calculus,1,Partial subset of KA Core topics in multivariate calculus and optimization
http://example.org/course/X1I2030,Métaheuristiques,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-SEP_Society_Ethics_and_the_Profession.txt,0.6345361,"ORO,CMI",Algorithmic_Foundations_AL,AL-SEP_Society_Ethics_and_the_Profession,1,"The lecture covers the topics of social, ethical and secure algorithms, algorithmic fairness, anonymity (differential privacy), accountability/transparency, responsible algorithms, economic impacts and sustainability."
http://example.org/course/X1I2030,Métaheuristiques,file:///Users/molli-p/BodyOfKnowledge/Software_Development_Fundamentals_SDF/SDF-Algorithms.txt,0.6260627,"ORO,CMI",Software_Development_Fundamentals_SDF,SDF-Algorithms,0,"The lecture covers some topics, but not all the specified learning outcomes of the knowledge unit."
http://example.org/course/X1I2030,Métaheuristiques,file:///Users/molli-p/BodyOfKnowledge/Artificial_Intelligence_AI/AI-Introduction_Fundamental_Issues.txt,0.62450004,"ORO,CMI",Artificial_Intelligence_AI,AI-Introduction_Fundamental_Issues,1,"The lecture covers about 60% of the knowledge Unit content, mostly on topics related to AI foundations and problem characteristics."
http://example.org/course/X1II030,Complexité et algorithmes,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Complexity_Complexity.txt,0.7267314,"ATAL,ORO,DS,CMI,ALMA,VICO",Algorithmic_Foundations_AL,AL-Complexity_Complexity,1,"The lecture covers most of the topics in the Knowledge Unit, but with some omissions in the advanced classes (FPTAS, PTAS, APX, FPT, W[1]-dur) and specific techniques for proving FPT."
http://example.org/course/X1II030,Complexité et algorithmes,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Complexity_Complexity.txt,0.70780706,"ATAL,ORO,DS,CMI,ALMA,VICO",Algorithmic_Foundations_AL,AL-Complexity_Complexity,1,"The lecture covers most of the topics in the Knowledge Unit, but with some omissions in the advanced classes (FPTAS, PTAS, APX, FPT, W[1]-dur) and specific techniques for proving FPT."
http://example.org/course/X1II030,Complexité et algorithmes,file:///Users/molli-p/BodyOfKnowledge/Algorithmic_Foundations_AL/AL-Complexity_Complexity.txt,0.70366716,"ATAL,ORO,DS,CMI,ALMA,VICO",Algorithmic_Foundations_AL,AL-Complexity_Complexity,1,"The lecture covers most of the topics in the Knowledge Unit, but with some omissions in the advanced classes (FPTAS, PTAS, APX, FPT, W[1]-dur) and specific techniques for proving FPT."
http://example.org/course/X1II050,"Communication, connaissance de l'entreprise",file:///Users/molli-p/BodyOfKnowledge/Networking_and_Communication_NC/NC-Fundamentals_Fundamentals.txt,0.6471239,"ATAL,ORO,DS,CMI,ALMA,VICO",Networking_and_Communication_NC,NC-Fundamentals_Fundamentals,1,"The lecture covers the fundamentals of networking, including internet organization, switching techniques, layering principles, and network elements."
http://example.org/course/X1II050,"Communication, connaissance de l'entreprise",file:///Users/molli-p/BodyOfKnowledge/Specialized_Platform_Development_SPD/SPD-Common_Aspects.txt,0.64143604,"ATAL,ORO,DS,CMI,ALMA,VICO",Specialized_Platform_Development_SPD,SPD-Common_Aspects,1,"The lecture covers the 'Overview of development platforms', which is part of the Knowledge Unit content."
http://example.org/course/X1II050,"Communication, connaissance de l'entreprise",file:///Users/molli-p/BodyOfKnowledge/Human_Computer_Interaction_HCI/HCI-User_Understanding_the_User_Individual_goals_and_interactions_with_others.txt,0.6396282,"ATAL,ORO,DS,CMI,ALMA,VICO",Human_Computer_Interaction_HCI,HCI-User_Understanding_the_User_Individual_goals_and_interactions_with_others,1,"The lecture covers HCI-User: Understanding the User, which is a significant part of the Knowledge Unit."
