code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS1IU010,Graphes et Complexité,UFR Sciences et techniques,Master,1,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h,(s),"(ALMA),M1 CMI-OPTIM,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Data Science
(DS) ,M1 Visual Computing (VICO),M1 Smart Computing",Graphes et Complexité 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage) complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de
théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles.
1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur
les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.","4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et
applications.
6. Plus courts chemins: algorithmes et applications",Présentiel.,Français,"C. Froidevaux, M.C. Gaudel, M. Soria - Types de données et algorithmes"
XMS1AU010,Anglais scientifique,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement",Anglais scientifique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS1IU080,Développement et exploitation,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h,(s),"Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la",Développement et exploitation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU300,Génie logiciel,"FST,UFR Sciences",Master,1,Volume horaire total TOTAL : 47.98h Répartition : CM : 19.99h TD : 6.66h CI : 0h TP : 21.33h EAD : 0h,TOTAL : 47.98h Répartition : CM : 19.99h TD : 6.66h CI : 0h TP : 21.33h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Conception de logiciels 50%,"Programme
- Test logiciel (XMS1IE301)","(résultats d'apprentissage)
• Motivate and and define verification and validation:
- notions of need and specification,
- notions of failure, fault, error,
- understand why software has flaws,
- know the difference between verification and validation,
- know how to cite different verification approaches and compare them on the basis of relevant
criteria.
• Motivate and define software testing:
- understand the general process of software testing,
- understand what a test case and a test suite is,
- understand how to run a test case,
- distinguish manual or automated test,
- distinguish unit, system or integration test,
- understand the definition, importance and necessity of test frameworks,
- understand the functional method to define test scenarios,
- understand the structural method to define test cases,
- understand the problem of testability,
- understand the notion of test doubles and its interest,
- know metrics to measure the quality of tests (coverage and mutation analysis).
• Practice software testing:
- know how to write test scenarios by following a functional method,
- know how to write test scenarios by following a structural method,
- know how to correctly use a test framework,
- know how to create and use test doubles,
- know how to apply mutation operators,
- know how to use a mutation analysis tool and interpret the results,
- know how to use a test coverage tool and interpret the results.
• Notions de besoins, d'exigences, de vérification, de validation
• Concepts généraux du test logiciel : processus, scénario de test, architecture d'un framework de
test logiciel
• Méthode fonctionnelle pour définir des scénarios de test à partir des exigences
• Méthode structurelle pour définir des scénarios de test à partir du code source
• Problèmes de testabilité d'un logiciel, utilisation de doublures de test pour faire face à de tels
problèmes
• Qualité d'une suite de tests et méthodes pour la mesurer (couverture, analyse de mutation)","• Notions of needs, requirements, verification, validation
• General concepts of software testing: process, test case, architecture of a software testing
framework
• Functional method to define test cases from requirements
• Structural method for defining test cases from source code
• Software testability issues, using test doubles to deal with such issues
• Quality of a test suite and methods to measure it (coverage, mutation analysis)
• Fonctionnement
- En séance : cours magistraux pour la théorie (avec support de cours complet en version web et
papier), travaux dirigés pour l'application ""sur papier"", travaux pratiques pour l'application sur
machine
- En distanciel / autonomie : travaux pratiques complémentaires, lecture et compréhension en
autonomie d'un chapitre non étudié en séance.
• Évaluation
- Controle Continu Écrit (CCE) en deux épreuves (mi semestre puis fin de semestre)
- Contrôle Continu Pratique (CCP).","• Organization
- In class: lectures to learn theory (with full course available in web and paper version), tutorials
without computers, practical work on computers
- Outside class: additional practical work, reading and understanding an additional chapter not
studied in class, group work on a project given at the end of the semester (see below)
• Evaluation
- Two written tests (mid semester then end of semester)
- One evaluated project to be submitted at the end of the semester",Français,XMS1IE302 Conception de logiciels
XMS1IU220,Introduction à l'optimisation non-linéaire différentiable,UFR des Sciences et des Techniques,Master,1,GOLDSZTEJN ALEXANDRE,TOTAL : 24h Répartition : CM : 12h TD : 6.67h CI : 0h TP : 5.33h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Introduction à l'optimisation non-linéaire différentiable 100%,La note de CCE pourra contenir une part de pratique et d'oral.,"(résultats d'apprentissage) * savoir interpréter le comportement d'algorithmes d'optimisation (Compréhension) ;
* développer une méthode d'optimisation pour la résolution d'un problème non-linéaire avec
contraintes (Application) ;
* Optimisation sans contrainte
- Recherche en ligne (méthodes de la section dorée, de Newton, de la sécante) - Modèles linéaires et
quadratiques d’une fonction à plusieurs variables
- Conditions d'optimalité du premier et second ordre
- Etude des formes quadratiques symétriques
- Méthode de Newton
- Méthode de la descente de gradient, analyse de convergence
- Méthode des gradients conjugués, orthogonalité","* Optimisation sous contraintes
- Notions de variété, espace tangent, courbe admissible
- Conditions d'optimalité du premier ordre (théorème de Khun-Tucker) - Méthode du gradient
projeté
- Multiplicateurs de Lagrange, interprétation économique
- Méthode de pénalisation
- Lagrangien, dualité
- Méthode du lagrangien augmenté",Présentiel,Français,
XMS1IU210,Graphes II et Réseaux,UFR des Sciences et des Technqiues,Master,1,RUSU Irena,TOTAL : 24h Répartition : CM : 8h TD : 8h CI : 0h TP : 8h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Graphes II et Réseaux 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage)
problématiques/méthodes.
4. mener à bien un projet de résolution de problème à l'aide de graphes, en binôme, depuis la prise
en main du sujet et jusqu'à l'évaluation des solutions/implémentations proposées","avantages et leurs limites.
2. Problème du flot maximum de coût minimum : algorithme des plus courts chemins, algorithme de",Présentiel.,Français,Analysis
XMS1IU200,Dualité et optimisation linéaire continue,UFR des Sciences et des Techniques,Master,1,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Dualité et optimisation linéaire continue 100%,La note de CCE pourra contenir une part de pratique et d'oral.,"(résultats d'apprentissage) * Déterminer les conséquences sur le tableau simplexe optimal d'une modification du problème
initial : modification de coefficients de la fonction objectif, de membres de droite d'une contrainte,
ajout de variables et/ou de contraintes (A)
* Interpréter correctement les notions d'intervalle de sensibilité d'un coefficient de la fonction
objectif ou d'un second membre d'une contrainte (A)
* Réoptimiser un programme linéaire auquel des contraintes/des variables ont été ajoutées après la
résolution initiale (A)
* Reconnaître une matrice totalement unimodulaire, et décrire ses propriétés (A)
* Résoudre le problème d'affectation par la méthode hongroise (A)
1) Rappels : résolution graphique de programmes linéaires, algorithme primal simplexe
2) Dualité en programmation linéaire : définition, principales propriétés, interprétation économique","3) Algorithme dual simplexe
4) Analyse post-optimale
5) Résolution du problème d'affectation linéaire par la méthode hongroise",Présentiel,"Français
* Chvatal V. (1983). Linear Programming. W. H. Freeman and company
* Nobert Y., Ouellet R., Parent R. (2001). La Recherche Opérationnelle (3ème éd.). Editions Gaëtan","Morin.
* Teghmen J. (2003). Programmation linéaire (seconde édition). Éditions Ellipses."
XMS1IU060,Analyse exploratoire de données,Niveau Master,Master,1,LE CAPITAINE HOEL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1",Analyse exploratoire de données 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU050,Métaheuristiques,UFR des Sciences et des Techniques,Master,1,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing",Métaheuristiques 100%,L'examen pourra être écrit ou oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU040,Intelligence Artificielle et Applications,"UFR des Sciences et des Techniques,Nantes",Master,1,QUINIOU SOLEN,TOTAL : 48.01h Répartition : CM : 5.33h TD : 42.68h CI : 0h TP : 0h EAD : 0h,(s),"de la Langue (ATAL),M1 Smart Computing",Projet d'intelligence artificielle 35%,"Programme
- Structures et stratégies pour la résolution de problèmes (XMS1IE041)",(résultats d'apprentissage),"recherche en largeur d'abord, en profondeur d'abord, avec heuristiques, recherche gloutonne,
algorithme A*, algorithme minimax, élagage alpha-bêta, recherche arborescente Monte-Carlo.",Bibliographie,Français,XMS1IE042 Projet d'intelligence artificielle
XMS1IU030,Interactions Humain-Machine,UFR des sciences et des techniques,Master,1,PRIE YANNICK,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Smart Computing",Interaction Humain-Machine 100%,"Programme
- Analyser le contexte métier et humain d’une intervention numérique
- Concevoir une interaction et une interface humain-machine","(résultats d'apprentissage)
- Evaluer l’expérience utilisateur liée à un outil numérique
- Concevoir une visualisation de données
- Introduction à l’interaction humain-machine
- Du côté de l'humain
- Conception d’interactions et d’interfaces","- Evaluation d’interactions et d’interfaces
- Programmation d’interfaces / pattern MVC
- Visualisation de données
- Cours","- Plusieurs ateliers (conception, évaluation, développement, visualisation de données)","Français
- Designing the User Interface: Strategies for Effective Human-Computer Interaction (Shneiderman,","(Lallemand, Gronier)
- Visualization Analysis and Design (Munzner)"
XMS1IU320,Projet transversal,UFR des Sciences et des Techniques,Master,1,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 8h TD : 0h CI : 0h TP : 16h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Projet transversal 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU310,Concurrence et vérification,UFR Sciences,Master,1,SKAF-MOLLI HALA,TOTAL : 47.98h Répartition : CM : 18.66h TD : 11.99h CI : 0h TP : 17.33h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Programmation concurrente en multi-threads 50%,"Programme
- Preuves et Constructions Formelles (XMS1IE313)","(résultats d'apprentissage)
d'utiliser des techniques adaptées telles que le model checking ou le
theorem proving.
3. Etre capable de mettre en oeuvre les techniques de modélisation et de
vérification formelle à l'aide d'outils adaptés, par ex. Uppaal et CoQ.","La bonne compréhension et la formulation des exigences d'un projet/problème
est primordial pour bien le traiter et le faire évoluer.",Bibliographie,Français,XMS1IE312 Programmation concurrente en multi-threads
XMS1IU070,Données massives et web sémantique,UFR Sciences,Master,1,SUNYE GERSON,TOTAL : 48.65h Répartition : CM : 17.33h TD : 14.66h CI : 0h TP : 16.66h EAD : 0h,(s),"(ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1 Smart Computing",Web sémantique - Web des données 50%,"Programme
- Données massives et cloud (XMS1IE071)","(résultats d'apprentissage)
• Indentifier les services fournis pour une infrastructure de type cloud
• Evaluer sur une applciation passe à l’échelle dans le cloud,
• Evaluer la fiabilité d'une appllication dans le contexte de cloud","• Conception et déploiement des applications à large échelle dans un cloud
• REST API dans le contexte de cloud
• Stocker et accéder des données massives dans le cloud
• Calculer le coût d’une application web dans le cloud",Bibliographie,Français,XMS1IE072 Web sémantique - Web des données
XMS1IU230,Optimisation discrète et combinatoire,UFR des Sciences et des Techniques,Master,1,GANDIBLEUX XAVIER,TOTAL : 48h Répartition : CM : 24h TD : 12h CI : 0h TP : 12h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Optimisation discrète et combinatoire 100%,L'examen pourra être écrit ou oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1HMIU1,Engineering for Research I,Niveau Master,Master,1,SKAF-MOLLI HALA,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),M1 Smart Computing,Engineering for Research I 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS1HMIU2,Research Discovery,Niveau Master,Master,1,DELAHAYE BENOIT,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),M1 Smart Computing,Research Discovery 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU030,Compilation,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1",Compilation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU020,Apprentissage automatique,Niveau Master,Master,2,DE LA HIGUERA COLIN,TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing",Machine Learning 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU040,Projet de recherche,Nantes,Master,2,SUNYE GERSON,TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture",Projet de recherche 100%,Programme,(résultats d'apprentissage),"Les activités visées
- Conception et élaboration d’une démarche de recherche et développement, d’études et
prospective
- Mise en oeuvre d’une démarche de recherche et développement, d’études et prospective",Langue d’enseignement Français,Français,
XMS2IU010,Professionnalisation et éthique,UFR Sciences et techniques,Master,2,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 13.33h TD : 10.66h CI : 0h TP : 0h EAD : 0h,(s),"Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Architecture Logicielle (ALMA),M1 Data",Ethique 50%,"Programme
- Professionnalisation (XMS2IE011)",(résultats d'apprentissage),Méthodes d’enseignement,Bibliographie,Français,XMS2IE012 Ethique
XMS2HMIU1,Engineering for Research II,Niveau Master,Master,2,LERAY PHILIPPE,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),M1 Smart Computing,Engineering for Research II 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2HMIU2,Summer Internship (M1 SMART),Niveau Master,Master,2,SKAF-MOLLI HALA,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),M1 Smart Computing,Summer Internship (M1 SMART) 100%,Les dispenses d'assiduité ne sont pas autorisées.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,"Dernière modification par VIRGINIE BLOT, le 2024-08-21 14:44:51"
