code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS1AU010,Anglais scientifique,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement",Anglais scientifique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS1IU010,Graphes et Complexité,UFR Sciences et techniques,Master,1,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h,(s),"(ALMA),M1 CMI-OPTIM,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Data Science
(DS) ,M1 Visual Computing (VICO),M1 Smart Computing",Graphes et Complexité 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage) complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de
théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles.
1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur
les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.","4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et
applications.
6. Plus courts chemins: algorithmes et applications",Présentiel.,Français,"C. Froidevaux, M.C. Gaudel, M. Soria - Types de données et algorithmes"
XMS1IU080,Développement et exploitation,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h,(s),"Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la",Développement et exploitation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU070,Données massives et web sémantique,UFR Sciences,Master,1,SUNYE GERSON,TOTAL : 48.65h Répartition : CM : 17.33h TD : 14.66h CI : 0h TP : 16.66h EAD : 0h,(s),"(ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1 Smart Computing",Web sémantique - Web des données 50%,"Programme
- Données massives et cloud (XMS1IE071)","(résultats d'apprentissage)
• Indentifier les services fournis pour une infrastructure de type cloud
• Evaluer sur une applciation passe à l’échelle dans le cloud,
• Evaluer la fiabilité d'une appllication dans le contexte de cloud","• Conception et déploiement des applications à large échelle dans un cloud
• REST API dans le contexte de cloud
• Stocker et accéder des données massives dans le cloud
• Calculer le coût d’une application web dans le cloud",Bibliographie,Français,XMS1IE072 Web sémantique - Web des données
XMS1IU060,Analyse exploratoire de données,Niveau Master,Master,1,LE CAPITAINE HOEL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1",Analyse exploratoire de données 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU050,Métaheuristiques,UFR des Sciences et des Techniques,Master,1,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing",Métaheuristiques 100%,L'examen pourra être écrit ou oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU040,Intelligence Artificielle et Applications,"UFR des Sciences et des Techniques,Nantes",Master,1,QUINIOU SOLEN,TOTAL : 48.01h Répartition : CM : 5.33h TD : 42.68h CI : 0h TP : 0h EAD : 0h,(s),"de la Langue (ATAL),M1 Smart Computing",Projet d'intelligence artificielle 35%,"Programme
- Structures et stratégies pour la résolution de problèmes (XMS1IE041)",(résultats d'apprentissage),"recherche en largeur d'abord, en profondeur d'abord, avec heuristiques, recherche gloutonne,
algorithme A*, algorithme minimax, élagage alpha-bêta, recherche arborescente Monte-Carlo.",Bibliographie,Français,XMS1IE042 Projet d'intelligence artificielle
XMS1IU030,Interactions Humain-Machine,UFR des sciences et des techniques,Master,1,PRIE YANNICK,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Smart Computing",Interaction Humain-Machine 100%,"Programme
- Analyser le contexte métier et humain d’une intervention numérique
- Concevoir une interaction et une interface humain-machine","(résultats d'apprentissage)
- Evaluer l’expérience utilisateur liée à un outil numérique
- Concevoir une visualisation de données
- Introduction à l’interaction humain-machine
- Du côté de l'humain
- Conception d’interactions et d’interfaces","- Evaluation d’interactions et d’interfaces
- Programmation d’interfaces / pattern MVC
- Visualisation de données
- Cours","- Plusieurs ateliers (conception, évaluation, développement, visualisation de données)","Français
- Designing the User Interface: Strategies for Effective Human-Computer Interaction (Shneiderman,","(Lallemand, Gronier)
- Visualization Analysis and Design (Munzner)"
XMS2IU020,Apprentissage automatique,Niveau Master,Master,2,DE LA HIGUERA COLIN,TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing",Machine Learning 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU030,Compilation,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1",Compilation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
