code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS1IU010,Graphes et Complexité,UFR Sciences et techniques,Master,1,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h,(s),"(ALMA),M1 CMI-OPTIM,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Data Science
(DS) ,M1 Visual Computing (VICO),M1 Smart Computing",Graphes et Complexité 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage) complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de
théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles.
1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur
les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.","4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et
applications.
6. Plus courts chemins: algorithmes et applications",Présentiel.,Français,"C. Froidevaux, M.C. Gaudel, M. Soria - Types de données et algorithmes"
XMS1AU010,Anglais scientifique,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement",Anglais scientifique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS1IU080,Développement et exploitation,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h,(s),"Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la",Développement et exploitation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU070,Données massives et web sémantique,UFR Sciences,Master,1,SUNYE GERSON,TOTAL : 48.65h Répartition : CM : 17.33h TD : 14.66h CI : 0h TP : 16.66h EAD : 0h,(s),"(ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1 Smart Computing",Web sémantique - Web des données 50%,"Programme
- Données massives et cloud (XMS1IE071)","(résultats d'apprentissage)
• Indentifier les services fournis pour une infrastructure de type cloud
• Evaluer sur une applciation passe à l’échelle dans le cloud,
• Evaluer la fiabilité d'une appllication dans le contexte de cloud","• Conception et déploiement des applications à large échelle dans un cloud
• REST API dans le contexte de cloud
• Stocker et accéder des données massives dans le cloud
• Calculer le coût d’une application web dans le cloud",Bibliographie,Français,XMS1IE072 Web sémantique - Web des données
XMS1IU300,Génie logiciel,"FST,UFR Sciences",Master,1,Volume horaire total TOTAL : 47.98h Répartition : CM : 19.99h TD : 6.66h CI : 0h TP : 21.33h EAD : 0h,TOTAL : 47.98h Répartition : CM : 19.99h TD : 6.66h CI : 0h TP : 21.33h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Conception de logiciels 50%,"Programme
- Test logiciel (XMS1IE301)","(résultats d'apprentissage)
• Motivate and and define verification and validation:
- notions of need and specification,
- notions of failure, fault, error,
- understand why software has flaws,
- know the difference between verification and validation,
- know how to cite different verification approaches and compare them on the basis of relevant
criteria.
• Motivate and define software testing:
- understand the general process of software testing,
- understand what a test case and a test suite is,
- understand how to run a test case,
- distinguish manual or automated test,
- distinguish unit, system or integration test,
- understand the definition, importance and necessity of test frameworks,
- understand the functional method to define test scenarios,
- understand the structural method to define test cases,
- understand the problem of testability,
- understand the notion of test doubles and its interest,
- know metrics to measure the quality of tests (coverage and mutation analysis).
• Practice software testing:
- know how to write test scenarios by following a functional method,
- know how to write test scenarios by following a structural method,
- know how to correctly use a test framework,
- know how to create and use test doubles,
- know how to apply mutation operators,
- know how to use a mutation analysis tool and interpret the results,
- know how to use a test coverage tool and interpret the results.
• Notions de besoins, d'exigences, de vérification, de validation
• Concepts généraux du test logiciel : processus, scénario de test, architecture d'un framework de
test logiciel
• Méthode fonctionnelle pour définir des scénarios de test à partir des exigences
• Méthode structurelle pour définir des scénarios de test à partir du code source
• Problèmes de testabilité d'un logiciel, utilisation de doublures de test pour faire face à de tels
problèmes
• Qualité d'une suite de tests et méthodes pour la mesurer (couverture, analyse de mutation)","• Notions of needs, requirements, verification, validation
• General concepts of software testing: process, test case, architecture of a software testing
framework
• Functional method to define test cases from requirements
• Structural method for defining test cases from source code
• Software testability issues, using test doubles to deal with such issues
• Quality of a test suite and methods to measure it (coverage, mutation analysis)
• Fonctionnement
- En séance : cours magistraux pour la théorie (avec support de cours complet en version web et
papier), travaux dirigés pour l'application ""sur papier"", travaux pratiques pour l'application sur
machine
- En distanciel / autonomie : travaux pratiques complémentaires, lecture et compréhension en
autonomie d'un chapitre non étudié en séance.
• Évaluation
- Controle Continu Écrit (CCE) en deux épreuves (mi semestre puis fin de semestre)
- Contrôle Continu Pratique (CCP).","• Organization
- In class: lectures to learn theory (with full course available in web and paper version), tutorials
without computers, practical work on computers
- Outside class: additional practical work, reading and understanding an additional chapter not
studied in class, group work on a project given at the end of the semester (see below)
• Evaluation
- Two written tests (mid semester then end of semester)
- One evaluated project to be submitted at the end of the semester",Français,XMS1IE302 Conception de logiciels
XMS1IU310,Concurrence et vérification,UFR Sciences,Master,1,SKAF-MOLLI HALA,TOTAL : 47.98h Répartition : CM : 18.66h TD : 11.99h CI : 0h TP : 17.33h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Programmation concurrente en multi-threads 50%,"Programme
- Preuves et Constructions Formelles (XMS1IE313)","(résultats d'apprentissage)
d'utiliser des techniques adaptées telles que le model checking ou le
theorem proving.
3. Etre capable de mettre en oeuvre les techniques de modélisation et de
vérification formelle à l'aide d'outils adaptés, par ex. Uppaal et CoQ.","La bonne compréhension et la formulation des exigences d'un projet/problème
est primordial pour bien le traiter et le faire évoluer.",Bibliographie,Français,XMS1IE312 Programmation concurrente en multi-threads
XMS1IU320,Projet transversal,UFR des Sciences et des Techniques,Master,1,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 8h TD : 0h CI : 0h TP : 16h EAD : 0h,(s),"M1 Architecture Logicielle (ALMA),M1 Smart Computing",Projet transversal 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU030,Compilation,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),"Visual Computing (VICO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1",Compilation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU020,Apprentissage automatique,Niveau Master,Master,2,DE LA HIGUERA COLIN,TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 CMI-OPTIM,M1 Smart Computing",Machine Learning 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU040,Projet de recherche,Nantes,Master,2,SUNYE GERSON,TOTAL : 16h Répartition : CM : 16h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture",Projet de recherche 100%,Programme,(résultats d'apprentissage),"Les activités visées
- Conception et élaboration d’une démarche de recherche et développement, d’études et
prospective
- Mise en oeuvre d’une démarche de recherche et développement, d’études et prospective",Langue d’enseignement Français,Français,
XMS2IU010,Professionnalisation et éthique,UFR Sciences et techniques,Master,2,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 13.33h TD : 10.66h CI : 0h TP : 0h EAD : 0h,(s),"Opérationnelle (ORO),M1 Visual Computing (VICO),M1 Architecture Logicielle (ALMA),M1 Data",Ethique 50%,"Programme
- Professionnalisation (XMS2IE011)",(résultats d'apprentissage),Méthodes d’enseignement,Bibliographie,Français,XMS2IE012 Ethique
XMS2IU320,Conception pilotée par le domaine,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h,(s),M1 Architecture Logicielle (ALMA),Conception pilotée par le domaine 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU310,Programmation distribuée,UFR des Sciences et des Techniques,Master,2,SUNYE GERSON,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M1 Architecture Logicielle (ALMA),Programmation distribuée 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU080,Ingénierie de la décision,UFR des Sciences et des Techniques,Master,2,GUREVSKY EVGENY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Ingénierie de la décision 100%,La note de CCE pourra contenir une part de pratique et d'oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU070,Introduction au traitement d'image,UFR des sciences et des techniques,Master,2,PERREIRA DA SILVA MATTHIEU,TOTAL : 24h Répartition : CM : 0h TD : 16h CI : 8h TP : 0h EAD : 0h,(s),"(VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Introduction au traitement d'image 100%,Programme,(résultats d'apprentissage),•,"(2h40) qui permettent de traiter différente thématiques. La dernière séquence (3 TDs) concerne
l'étude d'un cas pratique au travers d'un mini projet.","Français
• Gonzalez, R. C., Woods, R. E. (2018). Digital image processing. Upper Saddle River, N.J.: Prentice","Press, Boca Raton, FL, 2015, 1053 pp. ISBN: 978-1498740265. Microscopy and"
XMS2IU090,Informatique temps réel et embarquée,UFR Sciences et techniques,Master,2,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h,(s),"(VICO),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Informatique temps réel et embarquée 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU110,Ingéniérie des réseaux,UFR Sciences et techniques,Master,2,HAMMA SALIMA,TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h,(s),"(ATAL),M1 Optimisation en Recherche Opérationnelle (ORO),M1 Architecture Logicielle (ALMA),M1",Ingénierie des réseaux 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2IU120,Conception et Analyse d'Algorithmes Efficaces,UFR des Sciences et des Technqiues,Master,2,FERTIN GUILLAUME,TOTAL : 24h Répartition : CM : 12h TD : 8h CI : 0h TP : 4h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Conception et Analyse d'Algorithmes Efficaces 100%,Programme,(résultats d'apprentissage),"plusieurs algorithmes entre eux
• évaluation de la complexité d'un problème (Polynomial vs NP-dur)
• en cas de problème ""difficile"" (NP-dur), étude de deux stratégies de résolution: algorithmes
d'approximation et complexité paramétrée (à exponentielle faible)",Langue d’enseignement Français,Français,
XMS2IU100,Introduction au Traitement Automatique des Langues,UFR des Sciences et des Techniques,Master,2,DUFOUR RICHARD,TOTAL : 24h Répartition : CM : 8h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Introduction au Traitement Automatique des Langues 100%,Programme,(résultats d'apprentissage),"et l'apprentissage profond, seront présentés. Les enjeux sociétaux et les limites des modèles de
langue actuels seront également abordés. Enfin, une part importante de l'UE intègrera des travaux
sur machine sous forme de travaux pratiques : il s'agira de manipuler les concepts du traitement du
langage au travers d'exercice ciblé ainsi que d'un petit projet permettant de résoudre un problème
ciblé grâce au techniques actuels d'intelligence artificielle adaptées au langage.",Langue d’enseignement Français,Français,
XMS2IU130,stage volontaire en informatique,Niveau Master,Master,2,SUNYE GERSON,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M1 Architecture Logicielle
(ALMA),M1 Data Science (DS) ,M1 CMI-OPTIM",Stage volontaire en informatique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS2AU000,Préparation au TOEIC,Nantes,Master,2,MOLLI PASCAL,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"Automatique de la Langue (ATAL),M1 Architecture Logicielle (ALMA),M1 Data Science (DS) ,M1",Anglais Préparation TOEIC %,Programme,"(résultats d'apprentissage) • Compléter les réponses exigées par les tests de certifications.
• Pouvoir optimiser leurs résultats aux certifications grâce à une méthodologie de travail appliquée
lors des séances d’entrainement.","• Exercices d’entrainement
• Conseils pour optimiser son score","Langue d’enseignement Français
• 200% TOEIC 2017 Listening & Reading (2 août 2016, de Michael Byrne et Michelle Dickinson)
• TOEIC® La Méthode Réussite (20 janvier 2011, de David Mayer et Serena Murdoch Stern)","Français
• 200% TOEIC 2017 Listening & Reading (2 août 2016, de Michael Byrne et Michelle Dickinson)
• TOEIC® La Méthode Réussite (20 janvier 2011, de David Mayer et Serena Murdoch Stern)","• Tactics for TOEIC® Listening and Reading Test (13 septembre 2007, de Grant Trew)
• Cambridge Grammar and Vocabulary for the TOEIC Test (11 novembre 2010, de Jolene Gear et"
