code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS1AU010,Anglais scientifique,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"(ORO),M1 Visual Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement",Anglais scientifique 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS1IU010,Graphes et Complexité,UFR Sciences et techniques,Master,1,SUNYE GERSON,TOTAL : 23.99h Répartition : CM : 10.66h TD : 9.33h CI : 0h TP : 4h EAD : 0h,(s),"(ALMA),M1 CMI-OPTIM,M1 Optimisation en Recherche Opérationnelle (ORO),M1 Data Science
(DS) ,M1 Visual Computing (VICO),M1 Smart Computing",Graphes et Complexité 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage) complexité algorithmique d'une solution et évaluer son efficacité.
4. mettre en œuvre les principales solutions algorithmiques pour les problèmes classiques de
théorie des graphes : parcours, connexité, plus courts chemins, recherche de cycles.
1. Introduction, rappels, exemples et applications.
2. Efficacité des algorithmes et calcul de la complexité: cas particulier des algorithmes portant sur
les graphes
3. Graphes particuliers I (arbres, arborescences): algorithmes et applications.","4. Connexité, forte connexité: algorithmes et applications.
5. Graphes particuliers II (graphes bipartis, graphes orientés sans circuits): algorithmes et
applications.
6. Plus courts chemins: algorithmes et applications",Présentiel.,Français,"C. Froidevaux, M.C. Gaudel, M. Soria - Types de données et algorithmes"
XMS1IU080,Développement et exploitation,UFR Sciences et techniques,Master,1,MOLLI PASCAL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h,(s),"Computing (VICO),M1 Data Science (DS) ,M1 Apprentissage et Traitement Automatique de la",Développement et exploitation 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU200,Dualité et optimisation linéaire continue,UFR des Sciences et des Techniques,Master,1,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Dualité et optimisation linéaire continue 100%,La note de CCE pourra contenir une part de pratique et d'oral.,"(résultats d'apprentissage) * Déterminer les conséquences sur le tableau simplexe optimal d'une modification du problème
initial : modification de coefficients de la fonction objectif, de membres de droite d'une contrainte,
ajout de variables et/ou de contraintes (A)
* Interpréter correctement les notions d'intervalle de sensibilité d'un coefficient de la fonction
objectif ou d'un second membre d'une contrainte (A)
* Réoptimiser un programme linéaire auquel des contraintes/des variables ont été ajoutées après la
résolution initiale (A)
* Reconnaître une matrice totalement unimodulaire, et décrire ses propriétés (A)
* Résoudre le problème d'affectation par la méthode hongroise (A)
1) Rappels : résolution graphique de programmes linéaires, algorithme primal simplexe
2) Dualité en programmation linéaire : définition, principales propriétés, interprétation économique","3) Algorithme dual simplexe
4) Analyse post-optimale
5) Résolution du problème d'affectation linéaire par la méthode hongroise",Présentiel,"Français
* Chvatal V. (1983). Linear Programming. W. H. Freeman and company
* Nobert Y., Ouellet R., Parent R. (2001). La Recherche Opérationnelle (3ème éd.). Editions Gaëtan","Morin.
* Teghmen J. (2003). Programmation linéaire (seconde édition). Éditions Ellipses."
XMS1IU210,Graphes II et Réseaux,UFR des Sciences et des Technqiues,Master,1,RUSU Irena,TOTAL : 24h Répartition : CM : 8h TD : 8h CI : 0h TP : 8h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Graphes II et Réseaux 100%,La note de CCE pourra contenir une part de pratique.,"(résultats d'apprentissage)
problématiques/méthodes.
4. mener à bien un projet de résolution de problème à l'aide de graphes, en binôme, depuis la prise
en main du sujet et jusqu'à l'évaluation des solutions/implémentations proposées","avantages et leurs limites.
2. Problème du flot maximum de coût minimum : algorithme des plus courts chemins, algorithme de",Présentiel.,Français,Analysis
XMS1IU220,Introduction à l'optimisation non-linéaire différentiable,UFR des Sciences et des Techniques,Master,1,GOLDSZTEJN ALEXANDRE,TOTAL : 24h Répartition : CM : 12h TD : 6.67h CI : 0h TP : 5.33h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Introduction à l'optimisation non-linéaire différentiable 100%,La note de CCE pourra contenir une part de pratique et d'oral.,"(résultats d'apprentissage) * savoir interpréter le comportement d'algorithmes d'optimisation (Compréhension) ;
* développer une méthode d'optimisation pour la résolution d'un problème non-linéaire avec
contraintes (Application) ;
* Optimisation sans contrainte
- Recherche en ligne (méthodes de la section dorée, de Newton, de la sécante) - Modèles linéaires et
quadratiques d’une fonction à plusieurs variables
- Conditions d'optimalité du premier et second ordre
- Etude des formes quadratiques symétriques
- Méthode de Newton
- Méthode de la descente de gradient, analyse de convergence
- Méthode des gradients conjugués, orthogonalité","* Optimisation sous contraintes
- Notions de variété, espace tangent, courbe admissible
- Conditions d'optimalité du premier ordre (théorème de Khun-Tucker) - Méthode du gradient
projeté
- Multiplicateurs de Lagrange, interprétation économique
- Méthode de pénalisation
- Lagrangien, dualité
- Méthode du lagrangien augmenté",Présentiel,Français,
XMS1IU050,Métaheuristiques,UFR des Sciences et des Techniques,Master,1,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"Optimisation en Recherche Opérationnelle (ORO),M1 Apprentissage et Traitement Automatique de
la Langue (ATAL),M1 CMI-OPTIM,M1 Smart Computing",Métaheuristiques 100%,L'examen pourra être écrit ou oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU230,Optimisation discrète et combinatoire,UFR des Sciences et des Techniques,Master,1,GANDIBLEUX XAVIER,TOTAL : 48h Répartition : CM : 24h TD : 12h CI : 0h TP : 12h EAD : 0h,(s),"M1 Optimisation en Recherche Opérationnelle (ORO),M1 CMI-OPTIM,M1 Smart Computing",Optimisation discrète et combinatoire 100%,L'examen pourra être écrit ou oral.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1IU060,Analyse exploratoire de données,Niveau Master,Master,1,LE CAPITAINE HOEL,TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h,(s),"(ORO),M1 Apprentissage et Traitement Automatique de la Langue (ATAL),M1 CMI-OPTIM,M1",Analyse exploratoire de données 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS1AU000,Anglais Préparation TOEIC,Distanciel,Master,1,LABARBE LAURIE,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"bâtiments,M1 Travaux Publics, Maritimes et Maintenance - Mention GC,M1 Travaux Publics,",Anglais Préparation TOEIC 100%,Programme,"(résultats d'apprentissage) • Compléter les réponses exigées par les tests de certifications.
• Pouvoir optimiser leurs résultats aux certifications grâce à une méthodologie de travail appliquée
lors des séances d’entrainement.","• Exercices d’entrainement
• Conseils pour optimiser son score",Distanciel,"Anglais
• 200% TOEIC 2017 Listening & Reading (2 août 2016, de Michael Byrne et Michelle Dickinson)
• TOEIC® La Méthode Réussite (20 janvier 2011, de David Mayer et Serena Murdoch Stern)","• Tactics for TOEIC® Listening and Reading Test (13 septembre 2007, de Grant Trew)
• Cambridge Grammar and Vocabulary for the TOEIC Test (11 novembre 2010, de Jolene Gear et"
