code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS3IU010,Middleware,Niveau Master,Master,3,MOSTEFAOUI ACHOUR,TOTAL : 24h Répartition : CM : 12h TD : 6h CI : 0h TP : 6h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Middleware 100%,"Programme
- Comprendre les fondements de la synchronisation liés à la concurrence
- Comprendre les architecture n-tiers (e.g. J2E) et les technologies associées
- Connaître les limites théoriques des applications distribuées
- Etre capable de mettre en place une architecture client/serveur utilisant des objets distants","(résultats d'apprentissage) - Comprendre les principe de HTTP et Websocket
- Etre capable de concevoir une API fondée sur REST
- Etre capable de créer un web service en utilisant le framework Spring
- Comprendre les concepts d'authentification et de sécurité
- Comprendre les concepts de services basés composants et de micro services",Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU020,Gestion des données distribuées à large échelle,Niveau Master,Master,3,MOLLI PASCAL,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),(ATAL),Gestion des données distribuées à large échelle 100%,"Programme
• To understand how big are big data and how distributed infrastructures are able to handle them
• To understand why traditional databases cannot handle big data
• To know online transaction processing, online analytical processing and streaming processing on
big data.
• To know representative distributed datastore for big data OLTP ie. CouchBase, Google BigTable...
• To know how to program with Map-Reduce, resilient data structures, and stream processing ie.",(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU030,Deep Learning and Intensive Software Systems (EMN),Niveau Master,Master,3,Volume horaire total TOTAL : 24h Répartition : CM : 12h TD : 0h CI : 0h TP : 12h EAD : 0h,TOTAL : 24h Répartition : CM : 12h TD : 0h CI : 0h TP : 12h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Deep Learning and Intensive Software Systems (EMN) 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS3IU040,Architectures réparties,Niveau Master,Master,3,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Architectures réparties 100%,"Programme
• To understand the vision of the decentralized web
• To understand data integration problems
• To know how to build distributed data integration systems with GAV (Global as View), LAV, GLAV","(résultats d'apprentissage) and distributed query processing
• To know personal information systems and small data ie. Solid
• To know federated query processing over semantic web: FedX, Anapsid To know
• To be able to solve data integration problems on the web",Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU050,Ingénierie dirigée par les modèles,Niveau Master,Master,3,SUNYE GERSON,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Ingénierie dirigée par les modèles 100%,"Programme
1. Comprendre les principes et les objectifs de l'ingénierie dirigée par sur les modèles.
2. Comprendre les différences entre la modélisation et la méta-modélisation.
3. Comprendre les différences entre les langages spécifiques au domaine et les langages
génériques.
4. Connaître les différences entre la syntaxe abstraite , la syntaxe concrète et la sémantique d'un","(résultats d'apprentissage)
langage.
5. Être capable de concevoir un langage spécifique au domaine.
6. Être capable d'intégrer l'ingénierie basée sur les modèles dans le processus de développement
logiciel.
7. Être capable de réaliser des transformations de modèle à modèle.
8. Être capable de réaliser effectuer des transformations de modèle à texte (génération de code).",Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU060,Gestion des logiciels,Niveau Master,Master,3,SKAF-MOLLI HALA,TOTAL : 45h Répartition : CM : 33h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Gestion des logiciels 100%,"Programme
- Etre capable d'appliquer les méthodes et outils pour développer un ""Senior Capstone Project"" t (A)
- Etre capable d'identifier les différentes étapes de gestion d'un projet (M)","(résultats d'apprentissage)
- Etre capable d'estimer les couts et durées d'un projet (M)
- Comprendre les outils et l'organisation d'un travail collaboratif (M).",Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU070,Services de communication et systèmes distribués,Niveau Master,Master,3,MOSTEFAOUI ACHOUR,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Services de communication et systèmes distribués 100%,"Programme
- Comprendre la notion de service ainsi que ses différents paradigmes
- Connaître les principes SOA et son implémentation modulaire via les web-services
- Connaître les technologies relatives aux web-services (e.g. SOAP, WSDL, UDI)
- Connaître les changements induits par la notion de service à tous les niveaux","(résultats d'apprentissage) - Etre capable de développer un service dans une architecture monolithique simple
- Etre capable d'utiliser un Domain Drived Design (DDD) pour implémenter une architecture
orientée services
- Comprendre les paradigmes nés de l’expansion du cloud et de l’exploitation des services (e.g.",Méthodes d’enseignement,Langue d’enseignement Français,Français,
XMS3IU080,Modélisation et vérification des systèmes concurrents,Niveau Master,Master,3,JABER GUILHEM,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Modélisation et vérification des systèmes concurrents 100%,Programme,(résultats d'apprentissage),concurrents,Langue d’enseignement Français,Français,
XMS3IU090,Architectures et styles d'architectures,Niveau Master,Master,3,OUSSALAH MOURAD,TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Architectures et styles d'architectures 100%,"Programme
- Comprendre les concepts clés des Architectures Logicielles (I)
- Comprendre et savoir classifier les langages de modèlisation d'architectures en soulignant leurs
différents modes de représentation, leurs supports de conception et leurs mécanismes
d'adaptation (M)
- Etre capable d'identifier et de développer différents styles architecturaux (A)","(résultats d'apprentissage)
- Comprendre les principales difficultés qui interviennent lors du passage à l'echelle(A)
- Etre capable de maitriser la complexité des architectures logicielles à un haut niveau
d'abstraction (M)
- Comprendre et distinguer les différents styles architecturaux orientés agents, objets, composants
et modèles.(M)
- Introduction aux paradigmes objet, composant,agent, service et modèle dans les Architectures
logicielles
- Introduction aux styles Architecturaux
- Un Modèle de style d'architecture","- Dimensions quantitative et qualitative d'une architecture
- Usage des styles d'architectures
- Modèle d'évolution d'une architecture",Langue d’enseignement Français,Français,
XMS3IU100,Conferences,UFR des Sciences et des Techniques,Master,3,SKAF-MOLLI HALA,TOTAL : 24h Répartition : CM : 0h TD : 24h CI : 0h TP : 0h EAD : 0h,(s),M2 Architectures Logicielles (ALMA),Conferences 100%,Les étudiants doivent obligatoirement assister aux conférences pour valider l'UE.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS4IU010,Stage,Soutenance à la faculté des sciences et techniques,Master,4,PERRIN MATTHIEU,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"Apprentissage et Traitement Automatique de la Langue (ATAL),M2 CMI-OPTIM",Stage 100%,Les dispenses d'assiduité ne sont pas autorisées.,"(résultats d'apprentissage) - Synthétiser le travail effectué dans un compte rendu de manière concise, correcte, et complète.
- Préparer des supports puis présenter oralement le travail effectué de manière dynamique et
convaincante.",Méthodes d’enseignement,Langue d’enseignement Mixte,Mixte,"Dernière modification par VIRGINIE BLOT, le 2024-08-27 18:34:32"
